ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-111-57699-0	"物流大生态: 构建新零售时代的电商物流模式图 / 黄刚, 陈鹤天编著"	"北京: 机械工业出版社, 2017"	F713.365.1/9	第一书库（综合图书馆）	
978-7-115-46524-5	淘宝开店全攻略: 开店装修+营销推广+流量转化+售后客服+手机淘宝 / 甘立富编著	"北京: 人民邮电出版社, 2017"	F713.365.2/463	第一书库（综合图书馆）	
978-7-115-46085-1	"新媒体营销: 营销方式+推广技巧+案例解析 / 杜一凡, 胡一波主编"	"北京: 人民邮电出版社, 2017"	F713.365.2/464	第一书库（综合图书馆）	
978-7-5164-1522-1	新融合: 后“互联网+”时代赢利模式创新 / 黄圣淘著	"北京: 企业管理出版社, 2017"	F713.365.2/465	第一书库（综合图书馆）	
978-7-218-11960-1	赢在IP时代: 互联网时代的新商业设计 / 蔡余杰著	"广州: 广东人民出版社, 2017"	F713.365.2/466	第一书库（综合图书馆）	
978-7-121-32504-5	如何成为网络营销领导者 / (美) 玛丽·克里斯坦森著== Be a network marketing leader: build a community to build your empire / Mary Christensen; 王瑶译 eng	"北京: 电子工业出版社, 2017"	F713.365.2/467	第一书库（综合图书馆）	
978-7-302-47778-5	新手学网店营销、管理与推广 / 蒋杰编著	"北京: 清华大学出版社, 2017"	F713.365.2/468	第一书库（综合图书馆）	
978-7-302-47646-7	新手学开微店 / 蒋杰编著	"北京: 清华大学出版社, 2017"	F713.365.2/469	第一书库（综合图书馆）	
978-7-302-46702-1	玩转电商促销: 创意、方法、技巧与实战 / 李改霞编著	"北京: 清华大学出版社, 2017"	F713.365.2/470	第一书库（综合图书馆）	
978-7-121-31412-4	跨境电商多平台运营: 实战基础 / 易传识网络科技主编; 丁晖编著	"北京: 电子工业出版社, 2017"	F713.365.2/471	第一书库（综合图书馆）	
978-7-308-17223-3	娱乐化营销== Entertainment marketing: 移动互联网时代的营销新法则 / 来罡著 eng	"杭州: 浙江大学出版社, 2017"	F713.365.2/472	第一书库（综合图书馆）	
978-7-121-32005-7	新媒体引流: 移动社交微电商实战秘籍 / 高光泽著	"北京: 电子工业出版社, 2017"	F713.365.2/473	第一书库（综合图书馆）	
978-7-115-45875-9	新媒体营销教程 / 黑马程序员编著	"北京: 人民邮电出版社, 2017"	F713.365.2/474	第一书库（综合图书馆）	
978-7-305-19188-6	互联网商务模式== Internet business models / 胡广伟编著 eng	"南京: 南京大学出版社, 2017"	F713.365.2/475	第一书库（综合图书馆）	
978-7-5057-4138-6	"玩转社交媒体: 苹果前首席宣传官谈新媒体营销秘诀== The art of social media: power tips for power users / (美) 盖伊·川崎, 佩吉·菲茨帕特里克著; 苏西译 eng"	"北京: 中国友谊出版公司, 2017"	F713.365.2/476	第一书库（综合图书馆）	
978-7-302-46966-7	玩转社群: 方法、技巧一本通 / 李改霞著	"北京: 清华大学出版社, 2017"	F713.365.2/477	第一书库（综合图书馆）	
978-7-115-45896-4	"微信运营全攻略: 流程+推广+营销+管理+案例 / 黄丽霞, 彭进香编著"	"北京: 人民邮电出版社, 2017"	F713.365.2/478	第一书库（综合图书馆）	
978-7-115-44639-8	电商运营与推广: 操作实战+案例分析+策略技巧 / 葛存山主编	"北京: 人民邮电出版社, 2017"	F713.365.2/479	第一书库（综合图书馆）	
978-7-121-31040-9	微商干货: 选品·吸粉·运营·成交 / 郭军军著	"北京: 电子工业出版社, 2017"	F713.365.2/480	第一书库（综合图书馆）	
978-7-121-31377-6	QQ营销: 矩阵营销、内容营销与社群化网络营销推广策略与案例 / 靳晋著	"北京: 电子工业出版社, 2017"	F713.365.2/481	第一书库（综合图书馆）	
978-7-115-45575-8	"互联网平台营销== The rise of the platform marketer: 大数据与大规模寻址能力创造的营销机会 / (美) 克雷格·德穆斯特尔, (美) 约翰·李著; 董小云, 田儒基译 eng"	"北京: 人民邮电出版社, 2017"	F713.365.2/482	第一书库（综合图书馆）	
978-7-121-31928-0	Wish官方运营手册: 开启移动跨境电商之路 / Wish电商学院编著	"北京: 电子工业出版社, 2017"	F713.365.2/483	第一书库（综合图书馆）	
978-7-5080-9231-7	社群运营的艺术: 如何让你的社群更有归属感 / (美) 查尔斯·沃格著== The art of community / Charles Vogl; 靳婷婷译 eng	"北京: 华夏出版社, 2017"	F713.365.2/484	第一书库（综合图书馆）	
978-7-115-46750-8	"直播营销 / 勾俊伟, 张向南, 刘勇编著"	"北京: 人民邮电出版社, 2017"	F713.365.2/485	第一书库（综合图书馆）	
978-7-302-47656-6	一本书教你打造超级爆款IP / 柏承能编著	"北京: 清华大学出版社, 2017"	F713.365.2/486	第一书库（综合图书馆）	
978-7-115-44811-8	手机淘宝运营攻略: 开店 装修 运营 推广 内容营销 / 近水思鱼著	"北京: 人民邮电出版社, 2017"	F713.365.2/487	第一书库（综合图书馆）	
978-7-302-47606-1	网络营销推广 / 黑马程序员编著	"北京: 清华大学出版社, 2017"	F713.365.2/488	第一书库（综合图书馆）	
978-7-302-46493-8	超级IP: 互联网时代如何打造爆款 / 戴京京编著	"北京: 清华大学出版社, 2017"	F713.365.2/489	第一书库（综合图书馆）	
978-7-121-31368-4	"微商高手运营实战: 微商创业、社群电商、微信营销方法与案例 / 龚文祥, 触电会著"	"北京: 电子工业出版社, 2017"	F713.365.2/490	第一书库（综合图书馆）	
978-7-115-45131-6	淘宝网店内容运营: 内容引流方法+淘宝平台实战 / 近水思鱼著	"北京: 人民邮电出版社, 2017"	F713.365.2/491	第一书库（综合图书馆）	
978-7-5180-3677-6	"微信营销的实战策略 / 蔡余杰, 刘利著"	"北京: 中国纺织出版社, 2017"	F713.365.2/492	第一书库（综合图书馆）	
978-7-121-31858-0	电子商务企业经营沙盘模拟教程 / 何伟编著	"北京: 电子工业出版社, 2017"	F713.365/20	第一书库（综合图书馆）	
978-7-115-46956-4	"校园市场== Campus market: 布局未来消费群 决战年轻人市场 / 单兴华, 李烨著 eng"	"北京: 人民邮电出版社, 2017"	F713.5/145	第一书库（综合图书馆）	
978-7-5663-1822-0	营销管理与营销策划 / 主编胡玲	"北京: 对外经济贸易大学出版社, 2017"	F713.50/626	第一书库（综合图书馆）	
978-7-121-31435-3	实用文案与活动策划: 策略·技巧·方法与实战 / 韩中华编著	"北京: 电子工业出版社, 2017"	F713.50/627	第一书库（综合图书馆）	
978-7-5086-7290-8	视觉内容营销== Visual content marketing: 利用信息图表、视频和互动媒体吸引和留住客户 / (美) 斯蒂芬·甘布尔著; 邱墨楠译 eng	"北京: 中信出版社, 2017"	F713.50/628	第一书库（综合图书馆）	
978-7-5596-0761-4	实体店== Physical store: 卖什么都不如卖体验 / 黄会超著 eng	"北京: 北京联合出版公司, 2017"	F713.50/629	第一书库（综合图书馆）	
978-7-115-44738-8	制作打动人心的策划案: 视觉传达+故事搭建+高效表达 / (日) 望月正吾著; 周素译	"北京: 人民邮电出版社, 2017"	F713.50/630	第一书库（综合图书馆）	
978-7-5158-2063-7	"市场营销文案写作与范例赏析 / 金跃军, 龚学刚编著"	"北京: 中华工商联合出版社, 2017"	F713.50/631	第一书库（综合图书馆）	
978-7-5502-9754-8	互联网引爆 / 陈凯文著	"北京: 北京联合出版公司, 2017"	F713.50/632	第一书库（综合图书馆）	
978-7-115-46552-8	"写作: 打造个人IP, 成就企业品牌: 内容营销时代, 你的文字可以成就你的企业 / 陈志红著"	"北京: 人民邮电出版社, 2017"	F713.50/633	第一书库（综合图书馆）	
978-7-121-31617-3	传染: 塑造消费、心智、决策的隐秘力量 / (美) 乔纳·伯杰著== Invisible influence: the hidden forces that shape behavior / Jonah Berger; 李长龙译 eng	"北京: 电子工业出版社, 2017"	F713.50/634	第一书库（综合图书馆）	
978-7-121-31396-7	文案实战手记 / 黄运丰著	"北京: 电子工业出版社, 2017"	F713.50/635	第一书库（综合图书馆）	
978-7-111-57800-0	营销想象力== The marketing imagination / (美) 西奥多·莱维特著; 辛弘译 eng	"北京: 机械工业出版社, 2017"	F713.50/636	第一书库（综合图书馆）	
978-7-115-45059-3	"大数据浪潮== Winning with data: 企业文化、高效团队和商业奇迹 / (美) Tomasz Tunguz, Frank Bien著; 宫鑫, 谢金秀, 刘婷婷译 eng"	"北京: 人民邮电出版社, 2017"	F713.51/28	第一书库（综合图书馆）	
978-7-5096-4830-8	商业信息搜集与处理== Business information investigation and analysis / 陈飔主编 eng	"北京: 经济管理出版社, 2017"	F713.51/29	第一书库（综合图书馆）	
978-7-5682-4649-1	"市场调查与预测 / 主编雷江, 黎芳霞; 参编杨芳琼"	"北京: 北京理工大学出版社, 2017"	F713.52/101	第一书库（综合图书馆）	
978-7-5596-0003-5	"社交销售: 人人都是销售员 / (美) 提姆·休斯, 马特·雷诺兹著== Social selling: techniques to influence buyers and changemakers / Tim Hughes, Matt Reynolds; 黎非凡译 eng"	"北京: 北京联合出版社, 2017"	F713.55/172	第一书库（综合图书馆）	
978-7-5086-7414-8	品牌广告手册== Behind the manipulation: 从策略到执行全实战指南 / (美) 威廉姆·巴雷著; 刘洲译 eng	"北京: 中信出版社, 2017"	F713.80/121	第一书库（综合图书馆）	
978-7-301-28421-6	广告学教程 / 蔡嘉清著	"北京: 北京大学出版社, 2017"	F713.80/122	第一书库（综合图书馆）	
978-7-5657-1915-8	广告媒体策划与应用 / 崔银河编著	"北京: 中国传媒大学出版社, 2017"	F713.81/77	第一书库（综合图书馆）	
978-7-5057-4009-9	文案圣经: 如何写出有销售力的文案 / (美) 克劳德·霍普金斯著== The bible of advertisement / Claude C. Hopkins; 姚静译 eng	"北京: 中国友谊出版公司, 2017"	F713.812/10	第一书库（综合图书馆）	
978-7-5680-3300-8	风格小店陈列术: 157种提高销售的商品布置法则 / La Vie编辑部编著	"武汉: 华中科技大学出版社, 2017"	F713.83/3	第一书库（综合图书馆）	
978-7-300-24666-6	"人脉: 构建人际网络 拓展商业机会的行动指南 / (英) 希瑟·汤森德著== The financial times guide to business networking: how to use the power of online and offline networking for business success / Heather Townsend; 张大志, 张菲菲译 eng"	"北京: 中国人民大学出版社, 2017"	F713/37	第一书库（综合图书馆）	
978-7-5654-2843-2	"商务沟通原理与技巧== Business communication:principles and techniques / 胡介埙, 王征, 唐玮编著 eng"	"大连: 东北财经大学出版社, 2017"	F715/247	第一书库（综合图书馆）	
978-7-111-57845-1	像开创者一样思考: 伟大思想者和创新者的76堂商业课 / (美) 保罗·斯隆著; 李乐强译	"北京: 机械工业出版社, 2017"	F715/248	第一书库（综合图书馆）	
978-7-5596-0328-9	学会提问: 实践篇 / (日)粟津恭一郎著; 程亮译	"北京: 北京联合出版公司, 2017"	F715/249	第一书库（综合图书馆）	
978-7-122-29572-9	商场超市营销推广·促销方案·电子商务 / 付玮琼主编	"北京: 化学工业出版社, 2017"	F717.6/84	第一书库（综合图书馆）	
978-7-121-31993-8	连锁店操作手册: 全新第5版 / 黄宪仁编著	"北京: 电子工业出版社, 2017"	F717.6/85	第一书库（综合图书馆）	
978-7-122-28348-1	图解商场超市采购与物流配送 / 付玮琼主编	"北京: 化学工业出版社, 2017"	F717.6/86	第一书库（综合图书馆）	
978-7-121-32001-9	店长操作手册: 全新第6版 / 黄宪仁编著	"北京: 电子工业出版社, 2017"	F717/85	第一书库（综合图书馆）	
978-7-5682-3774-1	给你一个门店 这样管才赚钱 / 丁兆领著	"北京: 北京理工大学出版社, 2017"	F717/86	第一书库（综合图书馆）	
978-7-122-29261-2	一本书搞懂商场超市经营管理 / 付玮琼主编	"北京: 化学工业出版社, 2017"	F717/87	第一书库（综合图书馆）	
978-7-5682-4430-5	"商务礼仪 / 主编何奇彦, 田昊, 朱克敏"	"北京: 北京理工大学出版社, 2017"	F718/134	第一书库（综合图书馆）	
978-7-122-29573-6	经济型酒店营销推广·促销方案·电子商务 / 江美亮主编	"北京: 化学工业出版社, 2017"	F719.2/767	第一书库（综合图书馆）	
978-7-5663-1731-5	涉外酒店前厅服务技能实训教程== Practical training for hotel front office / 李朝霞主编 eng	"北京: 对外经济贸易大学出版社, 2017"	F719.2/768	第一书库（综合图书馆）	
978-7-5032-5879-4	"旅游住宿业升级增效研究== Study on synergism of tourism upgrade: 成都市旅游住宿业“十三五”发展研究报告 / 韩勇, 魏佳, 陈颖等著 eng"	"北京: 中国旅游出版社, 2017"	F719.2/769	第一书库（综合图书馆）	
978-7-5570-0437-8	如何办好一场美食节 / 姜培若著	"广州: 广东旅游出版社, 2016"	F719.3/372	第一书库（综合图书馆）	
978-7-5364-8603-4	"奢华餐影全球行== Fine dining explorer: 全球顶级米其林餐厅及世界五十最佳餐厅探访食录 / (英) 陈嘉荣著; 刘景峰, 马金鸣译 eng"	"成都: 四川科学技术出版社, 2017"	F719.3/373	第一书库（综合图书馆）	
978-7-300-21841-0	"淘宝大学: 电商运营管理 / 单兴华, 闫贺朋主编"	"北京: 中国人民大学出版社, 2017"	F724.6/129	第一书库（综合图书馆）	
978-7-121-30819-2	京东平台店铺运营从入门到精通 / 京东商学院著	"北京: 电子工业出版社, 2017"	F724.6/130	第一书库（综合图书馆）	
978-7-121-31844-3	淘宝开店从小白到金冠: 选品·装修·运营一本通 / 李改霞著	"北京: 电子工业出版社, 2017"	F724.6/131	第一书库（综合图书馆）	
978-7-115-45117-0	"淘宝网店运营全能一本通: 开店 装修 推广 物流 客服: 视频指导版 / 陈志轩, 欧丹丽, 张运建编著"	"北京: 人民邮电出版社, 2017"	F724.6/132	第一书库（综合图书馆）	
978-7-121-31376-9	淘宝天猫店是如何运营的: 网店从0到千万实操手册 / 贾真著	"北京: 电子工业出版社, 2017"	F724/29	第一书库（综合图书馆）	
978-7-5496-2018-0	"回头客战略: 交易额越高, 流量成本越低的经营模式 / (美) 谢家华著== Delivering happiness: a path to profits, passion, and purpose / Tony Hsieh; 谢传刚译 eng"	"上海: 文汇出版社, 2017"	F737.124.6/5	第一书库（综合图书馆）	
978-7-5175-0206-7	报关基础知识: 2017年版 / 报关水平测试教程编委会编	"北京: 中国海关出版社, 2017"	F752.5/88	第一书库（综合图书馆）	
978-7-224-11690-8	"中华名物考 / (日) 青木正儿著; 杨晓钟, 戚硚婉琛译"	"西安: 陕西人民出版社, 2017"	F762.7/9	第一书库（综合图书馆）	
978-7-109-22034-8	食品营销学 / 安玉发主编	"北京: 中国农业出版社, 2016"	F768.2/14	第一书库（综合图书馆）	
978-7-115-45685-4	财富的理想国: 关于财富的117条法则 / (英) 理查德·泰普勒著; 傅婧瑛译	"北京: 人民邮电出版社, 2017"	F830.59/164	第一书库（综合图书馆）	
978-7-5596-0381-4	硅谷创投课: 互联网时代淘金指南 / (美) 加里·维纳查克著== #ASKGARYVEE / Gary Vaynerchuk; 林怡译 eng	"北京: 北京联合出版公司, 2017"	F830.59/165	第一书库（综合图书馆）	
978-7-5180-3611-0	女人的财富是设计出来的 / 高原主编	"北京: 中国纺织出版社, 2017"	F830.59/166	第一书库（综合图书馆）	
978-7-308-16631-7	"参与的胜利: 网络时代的参与文化 / (美) 亨利·詹金斯, (日) 伊藤瑞子, (美) 丹娜·博伊德著; 高芳芳译"	"杭州: 浙江大学出版社, 2017"	G112/2	第一书库（综合图书馆）	
978-7-5046-6705-2	樱花残: 灾难视角下的日本文化 / 陈安著	"北京: 中国科学技术出版社, 2017"	G131.3/8	第一书库（综合图书馆）	
978-7-201-11540-5	势利 / (美) 约瑟夫·艾本斯坦著== Snobbery / Joseph Epstein; 马绍博译 eng	"天津: 天津人民出版社, 2017"	G171.2/8	第一书库（综合图书馆）	
978-7-121-31233-5	大神教你做新媒体运营 / 巴大仁著	"北京: 电子工业出版社, 2017"	G206.2/57	第一书库（综合图书馆）	
978-7-111-56858-2	社群媒体== Group media / 崔义超著 eng	"北京: 机械工业出版社, 2017"	G206.2/58	第一书库（综合图书馆）	
978-7-5046-7529-3	科学家传播能力指南 / (意) 乔万尼·卡拉达著; 王大鹏译	"北京: 中国科学技术出版社, 2017"	G206.2/59	第一书库（综合图书馆）	
978-7-115-46215-2	新媒体写作平台策划与运营 / 哈默编著	"北京: 人民邮电出版社, 2017"	G212.2/28	第一书库（综合图书馆）	
978-7-111-57340-1	"内容之王== The content machine: 出版业的颠覆与重生 / (英) 迈克尔·巴斯卡尔著; 赵丹, 梁嘉馨译 eng"	"北京: 机械工业出版社, 2017"	G239.1/2	第一书库（综合图书馆）	
978-7-5104-6360-0	一座书店一座城: 诚品书店的发展逻辑 / 方菱著	"北京: 新世界出版社, 2017"	G239.23/4	第一书库（综合图书馆）	
978-7-302-47378-7	大数据搜索与挖掘及可视化管理方案== Elastic stack 5: elasticsearch、logstash、kibana、x-pack、beats / 高凯主编 eng	"北京: 清华大学出版社, 2017"	G254.9/7	第一书库（综合图书馆）	
978-7-302-46967-4	Elasticsearch集成Hadoop最佳实践 / (美) Vishal Shukla著; 贾传青译	"北京: 清华大学出版社, 2017"	G254.928/6	第一书库（综合图书馆）	
978-7-5439-7433-3	"知识发现== Knowledge discovery: 科技文献内容挖掘技术研究 / 吉久明, 李楠著 eng"	"上海: 上海科学技术文献出版社, 2017"	G256/9	第一书库（综合图书馆）	
978-7-5104-6090-6	翡翠 / 冷雪峰编著	"北京: 新世界出版社, 2017"	G262.3/49	第一书库（综合图书馆）	
978-7-5478-3476-3	"红木家具 / 柏德元, 谢崇桥, 陈同友编著"	"上海: 上海科学技术出版社, 2017"	G262/22	第一书库（综合图书馆）	
978-7-5478-3477-0	"翡翠 / 李苍彦, 方东亮编著"	"上海: 上海科学技术出版社, 2017"	G262/23	第一书库（综合图书馆）	
978-7-5478-3499-2	"寿山石 / 黄宝庆, 黄健琳编著"	"上海: 上海科学技术出版社, 2017"	G262/24	第一书库（综合图书馆）	
978-7-112-20796-1	"资料员通用与基础知识 / 胡兴福, 李光主编"	"北京: 中国建筑工业出版社, 2017"	G275.3/15	第一书库（综合图书馆）	
978-7-5198-0544-9	资料员必读 / 主编郝海燕	"北京: 中国电力出版社, 2017"	G275.3/16	第一书库（综合图书馆）	
978-7-5182-0582-0	建筑装饰装修工程资料管理与表格填写范例 / 北京土木建筑学会主编	"北京: 中国计划出版社, 2017"	G275.3/17	第一书库（综合图书馆）	
978-7-300-24599-7	"电子文件管理教程== A course in electronic records management / 冯惠玲, 刘越男等著 eng"	"北京: 中国人民大学出版社, 2017"	G275.7/2	第一书库（综合图书馆）	
978-7-100-14359-2	科学知识的地理 / (英) 大卫·利文斯通著; 孟锴译	"北京: 商务印书馆, 2017"	G302/12	第一书库（综合图书馆）	
978-7-308-16817-5	"未来视觉日记== Future visual diary / 冯晞, 傅潇霄主编 eng"	"杭州: 浙江大学出版社, 2017"	G303/96	第一书库（综合图书馆）	
978-7-313-17134-4	创新力 管理力 / 财才网编著	"上海: 上海交通大学出版社, 2017"	G305/48	第一书库（综合图书馆）	
978-7-5680-2814-1	X创造力== The myths of creativity: 创意信手拈来之谜 / (美) David Burkus著; 崔遥译 eng	"武汉: 华中科技大学出版社, 2017"	G305/49	第一书库（综合图书馆）	
978-7-5331-8804-7	科学的诞生 / 侯福龙编著	"济南: 山东科学技术出版社, 2017"	G3-49/2	第一书库（综合图书馆）	
978-7-5161-9326-6	语文唤醒教育研究 / 冯现冬著	"北京: 中国社会科学出版社, 2016"	G40-012/20	第一书库（综合图书馆）	
978-7-5354-9630-0	素质教育在美国 / (美) 黄全愈著	"武汉: 长江文艺出版社, 2017"	G40-012/21	第一书库（综合图书馆）	
978-7-303-22223-0	教育哲学 / (美) 奈尔·诺丁斯著== Philosophy of education / Nel Noddings; 许立新译 eng	"北京: 北京师范大学出版社, 2017"	G40-02/5	第一书库（综合图书馆）	
978-7-5166-3181-2	功利教育批判: 为什么民主需要人文教育== Not for profit: why democracy needs the humanities / (美) 玛莎·努斯鲍姆著; 肖聿译 eng	"北京: 新华出版社, 2017"	G40-03/11	第一书库（综合图书馆）	
978-7-208-11196-7	论现代教育中的实质非理性现象== A study of the substantive non-rational phenomena in modern education / 方建锋著 eng	"上海: 上海人民出版社, 2017"	G40-03/12	第一书库（综合图书馆）	
978-7-107-31325-7	中国教育科学. 2016年第4辑 / 《中国教育科学》编辑部编	"北京: 人民教育出版社, 2016"	G40-03/13:4	第一书库（综合图书馆）	
978-7-5682-4006-2	教育硕士333教育综合核心试题详解: 2018 / 教育学考研命题研究组主编	"北京: 北京理工大学出版社, 2017"	G40-44/2	第一书库（综合图书馆）	
978-7-5201-0625-2	"公民身份与道德教育: 行动中的价值观 / (英) J. 马克·霍尔斯特德, (英) 马克·A.派克著; 杨威译"	"北京: 社会科学文献出版社, 2017"	G416/2	第一书库（综合图书馆）	
978-7-5675-6417-6	"核心素养== Core competencies: 课程发展与设计新论 / 黄光雄, 蔡清田著 eng"	"上海: 华东师范大学出版社, 2017"	G423/12	第一书库（综合图书馆）	
978-7-5191-0810-6	课程 / (美) 约翰·富兰克林·博比特著; 刘幸译	"北京: 教育科学出版社, 2017"	G423/13	第一书库（综合图书馆）	
978-7-218-11927-4	金牌面试官 / 胡江伟著	"广州: 广东人民出版社, 2017.8"	G424.7/2	第一书库（综合图书馆）	
978-7-03-051496-7	"善用MOOC: “互联网+教育”视域下的应用模式== The application model of MOOC: from the perspective of "" internet+education "" / 甘健侯, 赵波, 李艳红著 eng"	"北京: 科学出版社, 2016"	G434/119	第一书库（综合图书馆）	
978-7-302-47105-9	Camtasia Studio微课制作实例教程 / 方其桂主编	"北京: 清华大学出版社, 2017"	G434/120	第一书库（综合图书馆）	
978-7-302-47342-8	VR+教育: 可视化学习的未来 / 杜颖编著	"北京: 清华大学出版社, 2017"	G434/121	第一书库（综合图书馆）	
978-7-5057-4041-9	"麦肯锡图表工作法: 麦肯锡精英图表分析与解决问题技巧 / (日) 齐藤显一, 竹内里子著; 金磊译"	"北京: 中国友谊出版公司, 2017"	G442/25	第一书库（综合图书馆）	
978-7-5495-9758-1	追寻幸福: 教师专业发展之路 / 黎琼锋著	"桂林: 广西师范大学出版社, 2017"	G451.2/11	第一书库（综合图书馆）	
978-7-308-16901-1	"中国文化阅读== Chinese culture reading in English: 4500单词话中国 / 黄建滨, 姚小玲主编 eng"	"杭州: 浙江大学出版社, 2017"	G634.413/29	第一书库（综合图书馆）	
978-7-03-052753-0	困境与突破: 工科大学创业教育模式再造研究 / 安宁著	"北京: 科学出版社, 2017"	G640/54	第一书库（综合图书馆）	
978-7-5671-2727-2	创新路上大工匠 / 顾骏主编	"上海: 上海大学出版社, 2017"	G641/81	第一书库（综合图书馆）	
978-7-208-14213-8	大学生校园安全防范 / 范立华编著	"上海: 上海人民出版社, 2017"	G645.5/94	第一书库（综合图书馆）	
978-7-302-47204-9	走进象牙塔里的日常生活世界: 大学生日常生活管理育人研究 / 敬坤著	"北京: 清华大学出版社, 2017"	G645.5/95	第一书库（综合图书馆）	
978-7-115-45308-2	大学生社交与礼仪 / 韩旭主编; 通识教育规划教材编写组编	"北京: 人民邮电出版社, 2017"	G645.5/96	第一书库（综合图书馆）	
978-7-5189-2613-8	"互联网+大学生创新创业教育研究 / 侯力红, 姬春林编著"	"北京: 科学技术文献出版社, 2017"	G647.38/217	第一书库（综合图书馆）	
978-7-5145-1072-0	三步打造你的个人品牌 给大学毕业生的建议 / (美) 布伦达·本斯著; 潘千译	"北京: 中国致公出版社, 2017"	G647.38/218	第一书库（综合图书馆）	
978-7-04-048233-1	创业的梦想: 大学生创业案例导读 / 董跃进主编	"北京: 高等教育出版社, 2017"	G647.38/219	第一书库（综合图书馆）	
978-7-100-12907-7	"美国大学入学申请路线图== Roadmap to college: navigating your way to college admission success / (美) 卡伦·沃尔夫著; 张伟平, 欧阳雅琴译 eng"	"北京: 商务印书馆, 2017"	G649.712.8/45	第一书库（综合图书馆）	
978-7-5682-4353-7	清华北大状元告诉你的9个高效黄金学习法== Nine efficient learning methods from No.one of Tsinghua and Peking university / 侯振臣著 eng	"北京: 北京理工大学出版社有限责任公司, 2017"	G791/31	第一书库（综合图书馆）	
978-7-210-09598-9	高效能阅读 / (日) 原尻淳一著; 程亮译	"南昌: 江西人民出版社, 2017"	G792/42	第一书库（综合图书馆）	
978-7-210-09651-1	实用性阅读指南== 読書が知識と行動に変わゐ本: 把读到的知识转化成能力 / (日) 大岩俊之著; 陈怡萍译 jpn	"南昌: 江西人民出版社, 2017"	G792/43	第一书库（综合图书馆）	
978-7-5192-2852-1	大学生身体锻炼与保健指导== Physical activity and health care guidance for college students / 黎茜著 eng	"广州: 世界图书出版广东有限公司, 2017"	G806/24	第一书库（综合图书馆）	
978-7-115-45275-7	肌肉训练彩色解剖图谱 瑜伽 / (美) 戈尔迪·卡佩尔·奥伦; 许可; 汪皓男审校	"北京: 人民邮电出版社, 2017"	G808.14/19	第一书库（综合图书馆）	
978-7-115-45954-1	背部功能强化训练 / (美) 菲利普·斯特里亚诺著; 袁琴译	"北京: 人民邮电出版社, 2017"	G808.14/20	第一书库（综合图书馆）	
978-7-5192-2551-3	图说中国古代体育== Illustrated history of ancient Chinese sports / 编著崔乐泉 eng	"西安: 世界图书出版西安有限公司, 2017"	G812.9/6	第一书库（综合图书馆）	
978-7-5304-8992-5	"跑酷健身== Parkour & Freerunning / (德) 扬·维特菲尔德, 伊洛娜·E.盖尔琳, 亚历山大·帕赫著; 嘉宁译 eng"	"北京: 北京科学技术出版社, 2017"	G822.5/2	第一书库（综合图书馆）	
978-7-213-08013-5	"耐力: 无伤、燃脂、轻松的MAF训练法 / (美) 菲利普·马费通著== The big book of endurance training and racing / Philip Maffetone; 谭杰, 张祎同译 eng"	"杭州: 浙江人民出版社, 2017"	G822/10	第一书库（综合图书馆）	
978-7-5433-3672-8	跑步健身 / (美) 理查德·L.布朗著== Fitness running / Richard L. Brown; 黄力平 ... [等] 译 eng	"天津: 天津科技翻译出版有限公司, 2017"	G822/7	第一书库（综合图书馆）	
978-7-115-45686-1	爱上跑步的100个理由== 100 reasons to run / Jeff galloway / (美) 杰夫·盖洛威著; 张猛译 eng	"北京: 人民邮电出版社, 2017"	G822/8	第一书库（综合图书馆）	
978-7-5184-1298-3	跑走跑训练法 / (美) 杰夫·盖洛威著; 赵小钊译	"北京: 中国轻工业出版社, 2017"	G822/9	第一书库（综合图书馆）	
978-7-115-45432-4	形体训练与形象塑造 / 付强	"北京: 人民邮电出版社, 2017"	G831.3/48	第一书库（综合图书馆）	
978-7-5612-5269-7	"UIC伸柔操系列== UIC stretch and flex exercises / 主编党东梅, 徐是雄 eng"	"西安: 西北工业大学出版社, 2017"	G831.3/49	第一书库（综合图书馆）	
978-7-121-31527-5	终极塑身计划: 12周打造完美体形 / (英) 尼克·米切尔著== Your ultimate body transformation plan: get into the best shape of your life in just 12 weeks / Nick Mitchell; 田琳译 eng	"北京: 电子工业出版社, 2017"	G831.32/3	第一书库（综合图书馆）	
978-7-5158-1987-7	美国警务人员实用防身技巧 / (美) 查克·乔伊纳(Chuck Joyner) 著== Advanced concepts in defensive tactics: a survival guide for law enforcement / Chuck Joyner; 姚长红译 eng	"北京: 中华工商联合出版社, 2017"	G852.4/22	第一书库（综合图书馆）	
978-7-5027-9329-6	"海洋休闲运动策划 / 黄玲, 黄永良主编"	"北京: 海洋出版社, 2017"	G861/2	第一书库（综合图书馆）	
978-7-5142-1695-0	"每周健身4小时: 用2.5%的努力, 达到95%的健身效果 / (美) 蒂莫西·费里斯著== The 4-hour body / Timothy Ferriss; 海绵译 eng"	"北京: 文化发展出版社, 2017"	G883/23	第一书库（综合图书馆）	
978-7-115-45722-6	"女性形体健美系统训练 / (美) 布拉德·舍恩菲尔德(Brad Schoenfeld); 祖颖 ,马东芳译"	"北京: 人民邮电出版社, 2017"	G883/24	第一书库（综合图书馆）	
978-7-300-24792-2	中国象棋名局欣赏 / 主编陈钢	"北京: 中国人民大学出版社, 2017"	G891.2/64	第一书库（综合图书馆）	
