ISBN	题名/责任者	出版项	索书号	馆藏位置	
978-7-5596-0674-7	"人生只有一次, 去做自己喜欢的事 / (美) 摩西奶奶作品"	"北京: 北京联合出版公司, 2017"	B821-49/295	第一书库（综合图书馆）	
978-7-5158-2078-1	"愿你给予半生, 归来仍是自己 / (美) 珍妮·桑蒂著== The giving way to happiness / Jenny Santi; 张荣译 eng"	"北京: 中华工商联合出版社, 2017"	B821-49/296	第一书库（综合图书馆）	
978-7-5520-1983-4	"处世的艺术 / (西班牙) 巴尔塔萨·格拉西安著; 晏可佳, 姚蓓琴译"	"上海: 上海社会科学院出版社, 2017"	B821-49/297	第一书库（综合图书馆）	
978-7-115-45784-4	"极简生活法则 / (英) 理查德·泰普勒著== The rules of life / Richard Templar; 陈婷, 刘静怡译 eng"	"北京: 人民邮电出版社, 2017"	B821-49/298	第一书库（综合图书馆）	
978-7-301-27444-6	不生气的智慧 / (日) 枡野俊明著; 孙蕾译	"北京: 北京大学出版社, 2017"	B821-49/299	第一书库（综合图书馆）	
978-7-5518-1511-6	了凡四训 / (明) 袁了凡著; 费勇译	"西安: 三秦出版社, 2017"	B823.1/24	第一书库（综合图书馆）	
978-7-5447-6667-8	1000个幸福的瞬间== 1000 Glücks-momente / (德) 弗洛里安·朗根沙伊特著; 王蕾译 ger	"南京: 译林出版社, 2016"	B82-49/12	第一书库（综合图书馆）	
978-7-111-57478-1	接受幸福的勇气: 人生幸福的行动指南 / (日) 岸见一郎著; 陆贝旎译	"北京: 机械工业出版社, 2017"	B82-49/13	第一书库（综合图书馆）	
978-7-5086-7709-5	跟巴黎名媛学气质== Polish your poise with madame chic / (美) 珍妮弗·L·斯科特著; 邓峰译 eng	"北京: 中信出版社, 2017"	B825.5/10	第一书库（综合图书馆）	
978-7-5682-3398-9	小窗幽记 / (明) 陈继儒著; 韩中华译评	"北京: 北京理工大学出版社, 2017"	B825/202	第一书库（综合图书馆）	
978-7-5113-6976-5	围炉夜话 / (清) 王永彬著; 桑楚主编	"北京: 中国华侨出版社, 2017"	B825/203	第一书库（综合图书馆）	
978-7-5184-1263-1	"心理科学== Psychological science: 培养科学素养 / (美) Mark Krause, Daniel Corts著; 张明等译 eng"	"北京: 中国轻工业出版社, 2017"	B84/194	第一书库（综合图书馆）	
978-7-5675-5988-2	"让我看见你: 临床过程、创伤和解离 / (美) 菲利浦·M·布隆伯格著== Standing in the spaces: essays on clinical process, trauma, and dissociation / Philip M. Blomberg; 邓雪康译 eng"	"上海: 华东师范大学出版社, 2017"	B84-065/21	第一书库（综合图书馆）	
